,index,feature,t_score,pv,mean_robot,std_robot,mean_tablet,std_tablet,bh_pv
0,0,Child gesture,-1.6984507134127833,0.33875977565536264,0.02123302521526405,0.02189942622067807,0.04198518034976015,0.039178690792744726,0.5230679145728614
1,1,Conversational turns,0.731781403067113,0.5978225350321973,2.5008642397698564,3.266166017944836,1.0480082014471854,0.45843039503897376,0.6476410796182137
2,2,Mutual gaze,19495.532160521332,3.26546496175373e-05,0.0546340263925882,0.012497546116843726,0.011208481347454849,0.012500696222942424,0.0004245104450279849
3,3,Parent gesture,4.906583889344306,0.1279950772824093,0.0562683939863953,0.015529976950832865,0.0487514198277946,0.01769657738870326,0.35919326838611215
4,4,Child gaze:parent,19.914936555450442,0.03194012295305972,0.0849267915522052,0.026166778399079514,0.017485387256771998,0.02137758168963856,0.20761079919488817
5,5,Parent gaze:child,4.5355719868578435,0.1381512570715816,0.24628940274859196,0.04413862104254675,0.13903463396366267,0.010696058762784705,0.35919326838611215
6,6,Child gaze:props_robot_tablet,-1.6415089876070894,0.34832875319331913,0.624159778664913,0.24001092317387013,0.9298905824516615,0.023386141609023862,0.5230679145728614
7,7,Parent gaze:props_robot_tablet,-1.7827806451867012,0.3254333789916006,0.4800714896722368,0.1285383208675306,0.7588925449902468,0.09264004954528855,0.5230679145728614
8,8,Parent gaze:child,4.5355719868578435,0.1381512570715816,0.24628940274859196,0.04413862104254675,0.13903463396366267,0.010696058762784705,0.35919326838611215
9,9,Verbal scaffolding:affective,1.0944107530982106,0.47132220040151324,0.022972593136765,0.0017436671462350512,0.0146546149991435,0.009004945712735642,0.5570171459290612
10,10,Verbal scaffolding:cognitive,-1.4537377452981368,0.38359313164038267,0.08836143442342455,0.052425221210889154,0.1287107500922132,0.09167752076480326,0.5230679145728614
11,11,Verbal scaffolding:technical,0.05124276835923016,0.9674063488908603,0.014919345,0.021099140040723226,0.0136541729435775,0.013817464549900401,0.9674063488908603
12,12,Parent affective touch,-1.365706766057959,0.4023599342868165,0.00208589241430455,0.0029498973419606537,0.01965363022719675,0.02114160122208365,0.5230679145728614
