,index,feature,t_score,pv,mean_robot,std_robot,mean_tablet,std_tablet,bh_pv,bh_pv_full
0,0,Child gesture,-1.6984507244505254,0.33875977384652756,0.0212330254083518,0.021899426493745384,0.04198518034976015,0.039178690792744726,0.5897938986971981,0.4993227151590501
1,1,Conversational turns,0.731781403280336,0.5978225349437951,2.5008642400143017,3.266166017599138,1.0480082014471854,0.45843039503897376,0.6974596241010943,0.6340542037282676
2,2,Mutual gaze,19497.21982392636,3.2651823057773164e-05,0.05463402658538555,0.012497546389500349,0.011208481347454849,0.012500696222942424,0.0004571255228088243,0.0005714069035110304
3,3,Parent gesture,4.90658364542915,0.12799508347518732,0.0562683939231299,0.015529976861362078,0.0487514198277946,0.01769657738870326,0.4835293998480899,0.2635192895077386
4,4,Child gaze:parent,19.914936444871902,0.031940123130111166,0.08492679157200285,0.026166778427077618,0.017485387256771998,0.02137758168963856,0.22358086191077817,0.09653540796911093
5,5,Child gaze:props_robot_tablet,-1.64150898509103,0.3483287536268692,0.6241597788423175,0.24001092342475802,0.9298905824516615,0.023386141609023862,0.5897938986971981,0.4993227151590501
6,6,Parent gaze:props_robot_tablet,-1.7827806415142247,0.32543337955115054,0.48007148987863585,0.12853832115942293,0.7588925449902468,0.09264004954528855,0.5897938986971981,0.4993227151590501
7,7,Parent gaze:child,4.535571985913398,0.13815125709945425,0.2462894027549088,0.04413862105148014,0.13903463396366267,0.010696058762784705,0.4835293998480899,0.26862744436005
8,8,Verbal scaffolding:affective,1.094410752727824,0.4713222005088036,0.0229725931665825,0.001743667188403363,0.0146546149991435,0.009004945712735642,0.5998646188293864,0.5573458179722722
9,9,Verbal scaffolding:cognitive,-1.453737754059923,0.3835931298487692,0.0883614343243152,0.05242522135105094,0.1287107500922132,0.09167752076480326,0.5897938986971981,0.5163753671041124
10,10,Verbal scaffolding:technical,0.05124277141904128,0.9674063469480256,0.0149193450796263,0.021099140153331815,0.0136541729435775,0.013817464549900401,0.9674063469480256,0.9674063469480256
11,11,Parent affective touch,-1.365706766057959,0.4023599342868165,0.00208589241430455,0.0029498973419606537,0.01965363022719675,0.02114160122208365,0.5897938986971981,0.5215776925940213
12,12,Child affect,-1.2838481186344726,0.4212813562122844,0.028460843164067,0.04024971039919714,0.18309326960550515,0.21058393567246225,0.5897938986971981,0.5266016952653555
13,13,Parent affect,0.12452700780453907,0.9211296525451907,0.10939346883908495,0.1547057272672725,0.0904865831746999,0.06001375086216304,0.9674063469480256,0.948221701149461
