,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
Child utterance,1.0,0.001254634690861178,0.016574186149248014,0.004385277904857439,0.016853287153154522,0.031946560355232634,0.0006097080198620766,0.07207595405909861,0.003653690188949277,0.005646317997905177,0.0027236428372446253,0.010596342022291658,0.19486646637013205,0.031181377213128005,0.26326168413594886,1.0
Child gaze,0.0012793694527730365,1.0,0.012385172975461555,0.004018140413230286,0.0021728916708298584,0.007113001125463645,0.024061376256773362,0.07149726819604421,0.0065317290119237805,0.041913314672214604,0.004681497404663943,0.010983477289562454,0.008518289563118335,0.1697822421634323,0.022737747280962606,1.0
Child gesture,0.019742670918187436,0.014467619741667288,1.0,0.003857411670223835,0.0011504611851148097,0.029841181299356114,0.022657962498324958,0.06728787787674657,0.0338529751437269,0.0028739177545240076,0.016976354205714715,0.0007606212673282022,0.002344411331435696,0.0481882186605984,0.003954343545312104,1.0
Parent utterance,0.001929081995609151,0.001733404783428075,0.001424543983021265,1.0,0.7302597739261096,0.001451866589838919,0.07344327322979208,6.58779822788538e-05,0.0009582329531247109,0.024720315214796687,0.034895401496127264,0.0013471915601257418,0.03289125518610152,0.010791590723590363,0.000114352138319111,1.0
Verbal scaffolding,0.0081906665964175,0.001035604711459999,0.0004693889960482945,0.8067861592356731,1.0,6.315681826253763e-05,0.07929142321358433,0.001579382265249543,0.00038470948486294825,0.018093524260695923,0.03311533146531154,0.0012282652664648763,0.008978080684198383,0.0033920102298701706,0.004539246157646622,1.0
Parent gaze,0.02004565509504701,0.004376937454561041,0.015719490495330217,0.0020709484712767004,8.154207593294011e-05,1.0,0.00567187268398781,8.241165108281122e-05,0.008287169026322384,0.010290542784190984,0.0007696940630794193,0.0010241911580184074,0.010029031781055868,0.21822435627849596,0.02887822230490888,1.0
Parent gesture,0.0004566319110406,0.017672017370781255,0.014245953091582398,0.12503822732231304,0.12219007633099771,0.006769781875597892,1.0,0.0081805674130947,0.0075116279256018555,0.00221094070861409,0.037148921954351356,0.0009284977094355644,0.015320287174828296,0.02600217071029937,0.006316535654475845,1.0
Child prop manipulation,0.02910401024179783,0.02831217264100186,0.02281001507008591,6.047127936505873e-05,0.0013122454153698551,5.303406314199624e-05,0.004410638986616262,1.0,0.004843205929923229,0.027719605656585745,0.009003797105466473,0.0014833883038070698,0.024396778573750784,0.001014698717972879,0.005601949357530472,1.0
Parent prop manipulation,0.007052574608718691,0.012364183542291912,0.0548578923937831,0.004204685383999852,0.001527967920406722,0.025493297760663808,0.01936001490854704,0.023151891091208705,1.0,0.03370298735911171,0.005680263672077573,0.0006502381658704221,0.00644867071164605,0.16475765713257698,0.018295829131114036,1.0
robot pointing,0.002997417368290175,0.021820023218145943,0.0012808035622176403,0.029831996748869154,0.01976379884968851,0.008706107388260317,0.0015671646657007393,0.03644236038251593,0.009269030537611118,1.0,0.13471694440649654,0.0011452772451886588,0.04250148270871167,0.02066613840903134,0.00021061290710660594,1.0
robot text,0.0009461530640992837,0.0015948408303812379,0.00495087518727465,0.02755661550978921,0.02367040685653793,0.0004261212891394531,0.017231104197923515,0.007745946787853968,0.0010222656537007524,0.08815594030046761,1.0,0.0003024775195704396,0.00036070986571001346,0.003492606124648453,0.0015535577323108477,1.0
start-end,0.11333935041844073,0.11520887149661647,0.006829981408541072,0.03275672976965757,0.0270322561874521,0.017458608455180002,0.013260540843984554,0.03929317904031389,0.003603140839890055,0.023075626339014547,0.009313364715151016,1.0,0.07184895178258185,0.09265697824333931,0.012531988502188486,1.0
Conversational turns,0.1268784574095846,0.005439068065373581,0.001281477240802669,0.048683036682831624,0.012028172733665849,0.010406714470133922,0.013319052641781227,0.039338774796249525,0.0021752291314926808,0.052128229584546014,0.0006760791717915948,0.004373674564016103,1.0,0.011018834962836026,0.07599611458459998,1.0
Joint attention,0.009917481492482647,0.052956550108349786,0.012866880977336716,0.007802575950377411,0.0022198755675003584,0.11061478463569682,0.011042600490652994,0.0007992465724417188,0.02714786888206333,0.012381793410695827,0.0031977497435181903,0.002755240330031875,0.0053825863288429155,1.0,0.05999576166549336,1.0
Mutual gaze,0.20472733492476083,0.01734031281041248,0.0025815995735879015,0.00020215239959270591,0.007263355228333808,0.035790064780110195,0.00655877570071219,0.010788595776160257,0.007370964221561906,0.0003085256491728537,0.0034777978170059736,0.000911136435431027,0.0907671682753119,0.14669072106127268,1.0,1.0
time,0.03383354293634379,0.03317942021412982,0.028403625884223484,0.07691196570156295,0.06961660663421136,0.05392017952630179,0.0451755165810183,0.08378862108955244,0.017527965422880612,0.06373318058250128,0.09739490403162845,0.0031631714091865377,0.051963296933096134,0.10637544073607375,0.0435070162808557,1.0
